1.0.0 【2026/05/30 14:07:22】【INFO】 	拉取[e58581e8aeb8e689a7e8a18ce68ea7e4bbb6e4bfaee694b9e59b9ee8b083]天赋属性：顶部按钮控件属性组
1.0.0 【2026/05/30 14:07:22】【INFO】 	test_checkBox
1.0.0 【2026/05/30 14:07:22】【INFO】 	拉取[test_checkBox]天赋属性：{'props_name': 'props', 'description': '测试复选框', 'long_description': '测试复选框（test）', 'widget_variant': None, 'modified_callback_enabled': True, 'modified_callback': <function ModifiedFunction.property_modified.<locals>.build_pm at 0x000001FE36E211B0>, 'widget_category': <WidgetCategory.CHECKBOX: 'CheckBox'>}
1.0.0 【2026/05/30 14:07:22】【INFO】 	test_digitalBox
1.0.0 【2026/05/30 14:07:22】【INFO】 	拉取[test_digitalBox]天赋属性：{'props_name': 'props', 'description': '测试数字框', 'long_description': '测试数字框（test）', 'widget_variant': <DigitalBoxVariant.INT: 'Int'>, 'modified_callback_enabled': True, 'modified_callback': <function ModifiedFunction.property_modified.<locals>.build_pm at 0x000001FE36E21240>, 'suffix': 'px', 'widget_category': <WidgetCategory.DIGITALBOX: 'DigitalBox'>}
1.0.0 【2026/05/30 14:07:22】【INFO】 	test1_digitalBox
1.0.0 【2026/05/30 14:07:22】【INFO】 	拉取[test1_digitalBox]天赋属性：{'props_name': 'props', 'description': '测试数字框', 'long_description': '测试数字框（test）', 'widget_variant': <DigitalBoxVariant.INT_SLIDER: 'IntSlider'>, 'modified_callback_enabled': True, 'modified_callback': <function ModifiedFunction.property_modified.<locals>.build_pm at 0x000001FE36E21000>, 'suffix': 'px', 'widget_category': <WidgetCategory.DIGITALBOX: 'DigitalBox'>}
1.0.0 【2026/05/30 14:07:22】【INFO】 	test_textBox
1.0.0 【2026/05/30 14:07:22】【INFO】 	拉取[test_textBox]天赋属性：{'props_name': 'props', 'description': '测试文本框', 'long_description': '测试文本框（test）', 'widget_variant': <TextBoxVariant.DEFAULT: 0>, 'modified_callback_enabled': True, 'modified_callback': <function ModifiedFunction.property_modified.<locals>.build_pm at 0x000001FE36E21360>, 'widget_category': <WidgetCategory.TEXTBOX: 'TextBox'>}
1.0.0 【2026/05/30 14:07:22】【INFO】 	test_button
1.0.0 【2026/05/30 14:07:22】【INFO】 	拉取[test_button]天赋属性：{'props_name': 'props', 'description': '测试按钮', 'long_description': '测试按钮（test）', 'widget_variant': <ButtonVariant.DEFAULT: 0>, 'modified_callback_enabled': False, 'modified_callback': 'test', 'click_callback': <function ObsScriptButtonFunction.select.<locals>.build_bf at 0x000001FE36E213F0>, 'widget_category': <WidgetCategory.BUTTON: 'Button'>}
1.0.0 【2026/05/30 14:07:22】【INFO】 	test_comboBox
1.0.0 【2026/05/30 14:07:22】【INFO】 	拉取[test_comboBox]天赋属性：{'props_name': 'props', 'description': '测试组合框', 'long_description': '测试组合框（test）', 'widget_variant': <ComboBoxVariant.LIST: 2>, 'modified_callback_enabled': True, 'modified_callback': <function ModifiedFunction.property_modified.<locals>.build_pm at 0x000001FE36E21480>, 'widget_category': <WidgetCategory.COMBOBOX: 'ComboBox'>}
1.0.0 【2026/05/30 14:07:22】【INFO】 	test_pathBox
1.0.0 【2026/05/30 14:07:22】【INFO】 	拉取[test_pathBox]天赋属性：{'props_name': 'props', 'description': '测试路径选择框', 'long_description': '测试路径选择框（test）', 'widget_variant': <PathBoxVariant.FILE: 0>, 'modified_callback_enabled': True, 'modified_callback': <function ModifiedFunction.property_modified.<locals>.build_pm at 0x000001FE36E21510>, 'filter_str': '*.*', 'default_path': '', 'widget_category': <WidgetCategory.PATHBOX: 'PathBox'>}
1.0.0 【2026/05/30 14:07:22】【INFO】 	test_colorBox
1.0.0 【2026/05/30 14:07:22】【INFO】 	拉取[test_colorBox]天赋属性：{'props_name': 'props', 'description': '测试颜色选择框', 'long_description': '测试颜色选择框（test）', 'widget_variant': <ColorBoxVariant.ALPHA: 'alpha'>, 'modified_callback_enabled': True, 'modified_callback': <function ModifiedFunction.property_modified.<locals>.build_pm at 0x000001FE36E21630>, 'widget_category': <WidgetCategory.COLORBOX: 'ColorBox'>}
1.0.0 【2026/05/30 14:07:22】【INFO】 	test_fontBox
